(CU-RivES)R235727
(CU-RivES)T153655
(CU-RivES)T153654
(Uk-ES)006481563
(CU-RivES)N493236
(CU-RivES)T127522
(CU-RivES)T148963
(CU-RivES)T153534
(CU-RivES)N66356
(Uk-ES)006476249
(CU-RivES)N477040
(CU-RivES)T176646
(CU-RivES)T185591
(CU-RivES)T153526
(CU-RivES)T153482
(CU-RivES)T151466
(CU-RivES)T153629
(CU-RivES)T145466
(CU-RivES)T43537
(CU-RivES)T172251
(CU-RivES)T155058
(CU-RivES)T153775
(CU-RivES)T181238
(CU-RivES)T182106
(CU-RivES)T4113
(CU-RivES)N33955
(CU-RivES)T181617
(CU-RivES)T147874
(CU-RivES)N252
(CU-RivES)T124331
(CU-RivES)T44494
(CU-RivES)T37887
(CU-RivES)T153753
(CU-RivES)T153762
(CU-RivES)T42382
(CU-RivES)N12947
(Uk-ES)006253102(CU-RivES)T153764
(CU-RivES)T161305
(CU-RivES)R10665
(CU-RivES)T153565
(CU-RivES)T153570
(CU-RivES)T153569
(CU-RivES)T77471
(CU-RivES)N31159
(CU-RivES)N479397
(Uk-ES)006479135
(CU-RivES)T37576
(CU-RivES)T148081
(CU-RivES)T5887
(CU-RivES)N46026
(CU-RivES)T73988
(CU-RivES)N32455
(CU-RivES)T46280
(CU-RivES)T49928
(CU-RivES)T152277
(CU-RivES)T014897
(CU-RivES)T149271
(CU-RivES)T155417
(CU-RivES)R181821
(CU-RivES)T50376
(CU-RivES)T156162
(CU-RivES)T2295
(CU-RivES)T14948
(CU-RivES)T154283
(CU-RivES)T51548
(CU-RivES)R27017
(CU-RivES)T151646
(Uk-ES)006251647
(CU-RivES)T151651
(CU-RivES)R33701
(CU-RivES)T25954
(CU-RivES)N63622
(CU-RivES)T90609
(CU-RivES)T149607
(CU-RivES)T162958
(CU-RivES)T142471
(CU-RivES)T167573
(CU-RivES)T155264
(CU-RivES)N43422
(CU-RivES)T144845
(CU-RivES)T29817
(CU-RivES)T59824
(CU-RivES)T152765
(CU-RivES)T71599
(CU-RivES)T167281
(CU-RivES)T14911
(CU-RivES)T148320
(CU-RivES)T54126
(CU-RivES)T140374
(Uk-ES)006269974
(CU-RivES)T175184
(CU-RivES)N43162
(CU-RivES)R186493
(CU-RivES)T163769
(CU-RivES)T22026
(CU-RivES)T75404
(CU-RivES)N29006
(CU-RivES)N33661
(CU-RivES)T37380
(CU-RivES)T189418
(CU-RivES)T14951
(CU-RivES)N17340
(CU-RivES)T145028
(CU-RivES)N33240
(CU-RivES)T227530
(CU-RivES)T73972
(CU-RivES)T144483
(CU-RivES)N32947
(CU-RivES)T167613
(CU-RivES)T14950
(CU-RivES)T170645
(CU-RivES)R10011
(CU-RivES)T152274
(CU-RivES)T70832
